No,Constituency,Representative,Questions,Group (manual)
18,SUBANG,TUAN WONG CHEN,1,TUAN WONG CHEN
19,JELI,TUAN ZAHARI BIN KECHIK [ JELI),1,TUAN ZAHARI BIN KECHIK
20,MARANG,YANG BERHORMAT TAN SRI HAJI ABDUL HADI BIN AWANG,1,TAN SRI HAJI ABDUL HADI BIN AWANG
21,RANTAU PANJANG,YB DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF RANTAU PANJANG,1,DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF
22,MARAN,YB DATO' SRI DR HJ. ISMAIL B HJ. ABD MUTTALIB,1,DATO' SRI DR. HAJI ISMAIL BIN HAJI ABD. MUTTALIB
23,PENGKALAN CHEPA,YB DATUK HAJI AHMAD MARZUK BIN SHAARY,1,DATUK DR. AHMAD MARZUK BIN SHAARY
24,LUMUT,YB KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (LUMUT),1,KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (BERSARA)
25,KALABAKAN,YB TUAN ANDI MUHAMMAD SURYADY BIN BANDY,1,DATUK ANDI MUHAMMAD SURYADY BIN BANDY
26,IPOH BARAT,YB TUAN M. KULASEGARAN A/L V. MURUGESON,1,TUAN M. KULASEGARAN
27,ALOR SETAR,TUAN AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,66,TUAN AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN
28,AMPANG,PUAN RODZIAH BINTI ISMAIL,70,PUAN RODZIAH BINTI ISMAIL
29,ARAU,DATO' SERI DR. SHAHIDAN BIN KASIM,68,DATO' SERI DR. SHAHIDAN BIN KASIM
30,ARAU,YB DATO' SRI DR. SHAHIDAN BIN KASSIM,3,YB DATO' SRI DR. SHAHIDAN BIN KASSIM
31,AYER HITAM,DATUK SEI IR. DR. WEE KA SIONG,1,DATUK SERI IR. DR. WEE KA SIONG
32,AYER HITAM,DATUK SERI IR. DR. WEE KA SIONG,71,DATUK SERI IR. DR. WEE KA SIONG
33,BACHOK,TUAN HAJI MOHD SYAHIR BIN CHE SULAIMAN,69,TUAN HAJI MOHD SYAHIR BIN CHE SULAIMAN
34,BAGAN,TUAN LIM GUAN ENG,75,TUAN LIM GUAN ENG
35,BAGAN SERAI,DATUK HAJI IDRIS BIN HAJI AHMAD,63,DATUK HAJI IDRIS BIN HAJI AHMAD
36,BAKRI,TUAN TAN HONG PIN,64,TUAN TAN HONG PIN
37,BALIK PULAU,DATO' DR. ALIAS BIN RAZAK,1,DATO' DR. ALIAS BIN RAZAK
38,BALIK PULAU,DATO' MUHAMMAD BAKHTIAR BIN WAN CHIK,70,DATO' MUHAMMAD BAKHTIAR BIN WAN CHIK
39,BALING,TUAN HASSAN BIN SAAD,67,TUAN HASSAN BIN SAAD
40,BANDAR KUCHING,DR. KELVIN YII LEE,1,DR. KELVIN YII LEE WUEN
41,BANDAR KUCHING,DR. KELVIN YII LEE WUEN,76,DR. KELVIN YII LEE WUEN
42,BANDAR TUN RAZAK,DATO' SERI DR. WAN AZIZAH DR. WAN ISMAIL,64,DATO' SERI DR. WAN AZIZAH DR. WAN ISMAIL
43,BANDAR TUN RAZAK,YB DATO' SERI DR. WAN AZIZAH BINTI WAN ISMAIL,7,DATO' SERI DR. WAN AZIZAH DR. WAN ISMAIL
44,BANGI,TUAN SYAHREDZAN BIN JOHAN,60,TUAN SYAHREDZAN BIN JOHAN
45,BARAM,DATO ANYI NGAU,33,DATO ANYI NGAU
46,BATANG LUPAR,TUAN MOHAMAD SHAFIZAN HAJI KEPLI,64,TUAN MOHAMAD SHAFIZAN HAJI KEPLI
47,BATANG LUPAR,TUAN MOHD SHAFIZAN HAJI KEPLI,1,TUAN MOHAMAD SHAFIZAN HAJI KEPLI
48,BATANG SADONG,PUAN RODIYAH BINTI SAPIEE,66,PUAN RODIYAH BINTI SAPIEE
49,BATU,TUAN PRABAKARAN A/L M PARAMESWARAN,59,TUAN PRABAKARAN A/L M PARAMESWARAN
50,BATU GAJAH,TUAN SIVAKUMAR VARATHARAJU NAIDU,36,TUAN SIVAKUMAR VARATHARAJU NAIDU
51,BATU GAJAH,YB TUAN SIVAKUMAR A/L VARATHARAJU NAIDU,7,TUAN SIVAKUMAR VARATHARAJU NAIDU
52,BATU KAWAN,TUAN CHOW KON YEOW,74,TUAN CHOW KON YEOW
53,BATU PAHAT,TUAN HAJI ONN BIN ABU BAKAR,64,TUAN HAJI ONN BIN ABU BAKAR
54,BAYAN BARU,TUAN SIM TZE TZIN,50,TUAN SIM TZE TZIN
55,BEAUFORT,DATUK HAJAH SITI AMINAH BINTI ACHING,52,DATUK HAJAH SITI AMINAH BINTI ACHING
56,BELURAN,DATUK SERI DR. RONALD KIANDEE,66,DATUK SERI DR. RONALD KIANDEE
57,BENTONG,PUAN YOUNG SYEFURA BINTI OTHMAN,61,PUAN YOUNG SYEFURA BINTI OTHMAN
58,BERA,DATO' SRI ISMAIL SABRI BIN YAAKOB,62,DATO' SRI ISMAIL SABRI BIN YAAKOB
59,BERUAS,DATO' NGEH KOO HAM,68,DATO' NGEH KOO HAM
60,BESUT,DATUK CHE MOHAMAD ZULKIFLY BIN JUSOH,66,DATUK CHE MOHAMAD ZULKIFLY BIN JUSOH
61,BESUT,YB DATUK CHE MOHAD ZULKIFLY BIN JUSOH,1,DATUK CHE MOHAMAD ZULKIFLY BIN JUSOH
62,BETONG,DATO DR. RICHARD RAPU @ AMAN ANAK BEGRI,62,DATO DR. RICHARD RAPU @ AMAN ANAK BEGRI
63,BETONG,TUAN TAN HONG PIN,1,TUAN TAN HONG PIN
64,BETONG,YB TUAN DR. RICHARD RAPU,2,DATO DR. RICHARD RAPU @ AMAN ANAK BEGRI
65,BUKIT BENDERA,PUAN SYERLEENA BINTI ABDUL RASHID,67,PUAN SYERLEENA BINTI ABDUL RASHID
66,BUKIT BENDERA,YB PUAN SYERLEENA ABDUL RASHID,3,PUAN SYERLEENA BINTI ABDUL RASHID
67,BUKIT BINTANG,TUAN FONG KUI LUN,67,TUAN FONG KUI LUN
68,BUKIT GANTANG,D ATO ' SYED ABU HUSSIN BIN HAFIZ SYED FASAL,1,DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL
69,BUKIT GANTANG,DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,67,DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL
70,BUKIT GELUGOR,TUAN RAMKARPAL SINGH A/L KARPAL SINGH,52,TUAN RAMKARPAL SINGH A/L KARPAL SINGH
71,BUKIT GELUGOR,YB TUAN RAMKARPAL A/L KARPAL SINGH,2,TUAN RAMKARPAL SINGH A/L KARPAL SINGH
72,CHERAS,TUAN TAN KOK WAI,63,TUAN TAN KOK WAI
73,DAMANSARA,TUAN GOBIND SINGH DEO,21,TUAN GOBIND SINGH DEO
74,DUNGUN,TUAN HAJI WAN HASSAN BIN MOHD RAMLI,74,TUAN HAJI WAN HASSAN BIN MOHD RAMLI
75,GERIK,TUAN FATHUL HUZIR BIN AYOB,74,TUAN FATHUL HUZIR BIN AYOB
76,GOMBAK,DATO' SERI AMIRUDIN BIN SHARI,50,DATO' SERI AMIRUDIN BIN SHARI
77,GOPENG,TUAN TAN KAR HING,53,TUAN TAN KAR HING
78,GUA MUSANG,TUAN MOHD AZIZI BIN ABU NAIM,64,TUAN MOHD AZIZI BIN ABU NAIM
79,HULU LANGAT,TUAN MOHD SANY BIN HAMZAN,66,TUAN MOHD SANY BIN HAMZAN
80,HULU SELANGOR,TUAN HAJI MOHD HASNIZAN BIN HARUN,66,TUAN HAJI MOHD HASNIZAN BIN HARUN
81,HULU TERENGGANU,DATO' ROSOL BIN WAHID,67,DATO' ROSOL BIN WAHID
82,IGAN,TUAN HAJI AHMAD JOHNIE BIN ZAWAWI,60,TUAN HAJI AHMAD JOHNIE BIN ZAWAWI
83,INDERA MAHKOTA,DATO' SRI SAIFUDDIN ABDULLAH,35,DATO' SRI SAIFUDDIN ABDULLAH
84,INDERA MAHKOTA,DATUK SRI SAIFUDDIN ABDULLAH,1,DATO' SRI SAIFUDDIN ABDULLAH
85,IPOH BARAT,TUAN M. KULASEGARAN,17,TUAN M. KULASEGARAN
86,IPOH BARAT,TUAN M.KULASEGARAN A/L V.MURUGESON,1,TUAN M. KULASEGARAN
87,IPOH TIMOR,TUAN LEE CHUAN HOW,63,TUAN LEE CHUAN HOW
88,IPOH TIMOR,YB TUAN HOWARD LEE CHUAN HOW,1,TUAN LEE CHUAN HOW
89,JASIN,TUAN ZULKIFLI BIN ISMAIL,59,TUAN ZULKIFLI BIN ISMAIL
90,JASIN,YB TUAN HJ. ZULKIFLI BIN HJ. ISMAIL,1,TUAN ZULKIFLI BIN ISMAIL
91,JELEBU,DATO' SERI HAJI JALALUDDIN BIN HAJI ALIAS,1,DATUK SERI HAJI JALALUDDIN BIN HAJI ALIAS
92,JELEBU,DATUK SERI HAJI JALALUDDIN BIN HAJI ALIAS,67,DATUK SERI HAJI JALALUDDIN BIN HAJI ALIAS
93,JELI,TUAN ZAHARI BIN KECHIK,72,TUAN ZAHARI BIN KECHIK
94,JELUTONG,TUAN SANISVARA NETHAJI RAYER A/L RAJAJI,68,TUAN SANISVARA NETHAJI RAYER A/L RAJAJI
95,JELUTONG,YB TUAN SANISVARA NETHAJI A/L RAJAJI,1,TUAN SANISVARA NETHAJI RAYER A/L RAJAJI
96,JEMPOL,DATO' HAJI SHAMSHULKAHAR BIN MOHD DELI,67,DATO' HAJI SHAMSHULKAHAR BIN MOHD DELI
97,JERAI,TUAN SABRI BIN AZIT,68,TUAN SABRI BIN AZIT
98,JERANTUT,IR. TS. HAJI KHAIRIL NIZAM BIN KHIRUDIN,65,IR. TS. HAJI KHAIRIL NIZAM BIN KHIRUDIN
99,JERANTUT,YB TUAN IR. HJ. KHAIRIL NIZAM BIN KHIRUDIN,2,IR. TS. HAJI KHAIRIL NIZAM BIN KHIRUDIN
100,JERLUN,DR. ABDUL GHANI BIN AHMAD,3,DR. HAJI ABD GHANI BIN AHMAD
101,JERLUN,DR. HAJI ABD GHANI BIN AHMAD,64,DR. HAJI ABD GHANI BIN AHMAD
102,JULAU,DATUK LARRY SOON @ LARRY SNG WEI SHIEN,69,DATUK LARRY SOON @ LARRY SNG WEI SHIEN
103,JULAU,YB TUAN LARRY SNG WEI SHIEN,2,DATUK LARRY SOON @ LARRY SNG WEI SHIEN
104,KALABAKAN,DATUK ANDI MUHAMMAD SURYADY BIN BANDY,66,DATUK ANDI MUHAMMAD SURYADY BIN BANDY
105,KAMPAR,TUAN CHONG ZHEMIN,69,TUAN CHONG ZHEMIN
106,KANGAR,TUAN ZAKRI BIN HASSAN,55,TUAN ZAKRI BIN HASSAN
107,KANGAR,TUAN ZAKRI BUN HASSAN,1,TUAN ZAKRI BIN HASSAN
108,KAPAR,DR. HAJAH HALIMAH ALI,58,DR. HAJAH HALIMAH ALI
109,KAPAR,DR. HAJAH HALIMAH BINTI ALI,2,DR. HAJAH HALIMAH ALI
110,KAPAR,YB DR. HAJJAH HALIMAH ALI,1,DR. HAJAH HALIMAH ALI
111,KAPAR,YB DR. HAJJAH HALIMAH BINTI ALI,1,DR. HAJAH HALIMAH ALI
112,KAPAR,YB DR. HJH. HALIMAH BINTI ALI,1,DR. HAJAH HALIMAH ALI
113,KEMAMAN,DATO' SERI DR. AHMAD SAMSURI BIN MOKHTAR,21,DATO' SERI IR. DR. AHMAD SAMSURI BIN MOKHTAR
114,KEMAMAN,DATO' SERI IR. DR. AHMAD SAMSURI BIN MOKHTAR,39,DATO' SERI IR. DR. AHMAD SAMSURI BIN MOKHTAR
115,KEMAMAN,TUAN CHE ALIAS BIN HAMID,17,TUAN CHE ALIAS BIN HAMID
116,KENINGAU,DATUK SERI PANGLIMA DR. JEFFREY G. KITINGAN,14,DATUK SERI PANGLIMA DR. JEFFREY G. KITINGAN
117,KENINGAU,DATUK SERI PANGLIMA DR. JEFFREY GAPARI KITINGAN,53,DATUK SERI PANGLIMA DR. JEFFREY GAPARI KITINGAN
118,KEPALA BATAS,DR. SITI MASTURA BINTI MUHAMMAD,58,DR. SITI MASTURA BINTI MUHAMMAD
119,KEPONG,TUAN LIM LIP ENG,65,TUAN LIM LIP ENG
120,KETEREH,DATO' KHLIR BIN MOHD NOR,56,DATO' KHLIR BIN MOHD NOR
121,KINABATANGAN,DATUK SERI PANGLIMA BUNG MOKTAR BIN RADIN,53,DATUK SERI PANGLIMA BUNG MOKTAR BIN RADIN
122,KLANG,TUAN GANABATIRAU A/L VERAMAN,67,TUAN GANABATIRAU A/L VERAMAN
123,KLUANG,PUAN WONG SHU QI,59,PUAN WONG SHU QI
124,KOTA BELUD,PUAN ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,11,PUAN ISNARAISSAH MUNIRAH MAJILIS
125,KOTA BELUD,PUAN ISNARAISSAH MUNIRAH MAJILIS,55,PUAN ISNARAISSAH MUNIRAH MAJILIS
126,KOTA BELUD,Y.B. PUAN ISNARAISSAH MUNIRAH BINTI MAJILIS@FAKHARUDY,3,PUAN ISNARAISSAH MUNIRAH MAJILIS
127,KOTA BELUD,YB PUAN ISNARAISSAH MUNIRAH BINTI MAJILIS,1,PUAN ISNARAISSAH MUNIRAH MAJILIS
128,KOTA BHARU,DATUK SERI TAKIYUDDIN BIN HASSAN,63,DATUK SERI TAKIYUDDIN BIN HASSAN
129,KOTA MARUDU,DATUK WETROM BIN BAHANDA,65,DATUK WETROM BIN BAHANDA
130,KOTA MELAKA,TUAN KHOO POAY TIONG,62,TUAN KHOO POAY TIONG
131,KUALA KANGSAR,DATUK ISKANDAR DZULKARNAIN BIN ABDUL KHALID,65,DATUK ISKANDAR DZULKARNAIN BIN ABDUL KHALID
132,KUALA KEDAH,DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI,65,DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI
133,KUALA KEDAH,YB TUAN DR. AHMAD FAKHRUDDIN SHEIKH FAKHRURAZI,1,YB TUAN DR. AHMAD FAKHRUDDIN SHEIKH FAKHRURAZI
134,KUALA KRAI,TUAN HAJI ABDUL LATIFF BIN ABDUL RAHMAN,66,TUAN HAJI ABDUL LATIFF BIN ABDUL RAHMAN
135,KUALA KRAU,TUAN HAJI KAMAL BIN ASHAARI,61,TUAN HAJI KAMAL BIN ASHAARI
136,KUALA KRAU,YB TUAN HJ. KAMAL BIN ASHAARI,61,YB TUAN HJ. KAMAL BIN ASHAARI
137,KUALA LANGAT,DATO' DR. AHMAD YUNUS BIN HAIRI,61,DATO' DR. AHMAD YUNUS BIN HAIRI
138,KUALA NERUS,DATO' DR. HAJI ALIAS BIN RAMLI,1,DATO' DR. HAJI ALIAS BIN RAZAK
139,KUALA NERUS,DATO' DR. HAJI ALIAS BIN RAZAK,64,DATO' DR. HAJI ALIAS BIN RAZAK
140,KUALA PILAH,DATO' HAJI ADNAN BIN HAJI ABU HASSAN,62,DATO' HAJI ADNAN BIN HAJI ABU HASSAN
141,KUALA PILAH,YB DATO' HJ. ADNAN HJ. ABU HASSAN,1,DATO' HAJI ADNAN BIN HAJI ABU HASSAN
142,KUALA SELANGOR,DATUK SERI DR. HAJI DZULKEFLY BIN AHMAD,16,DATUK SERI DR. HAJI DZULKEFLY BIN AHMAD
143,KUALA TERENGGANU,DATUK HAJI AHMAD AMZAD BIN MOHAMED @ HASHIM,63,DATUK HAJI AHMAD AMZAD BIN MOHAMED @ HASHIM
144,KUANTAN,TUAN WAN RAZALI BIN WAN NOR,72,TUAN WAN RAZALI BIN WAN NOR
145,KUBANG KERIAN,DATO' SRI TUAN IBHARIM BIN TUAN MAN,34,DATO' SRI TUAN IBHARIM BIN TUAN MAN
146,KUBANG KERIAN,DATO' SRI TUAN IBRAHIM BIN TUAN MAN,30,DATO' SRI TUAN IBRAHIM BIN TUAN MAN
147,KUBANG PASU,DATO' WIRA DR. KU ABD RAHMAN BIN KU ISMAIL,52,DATO' WIRA DR. KU ABD RAHMAN BIN KU ISMAIL
148,KUDAT,DATO' VERDON BIN BAHANDA,69,DATO' VERDON BIN BAHANDA
149,KULIM-BANDAR BAHARU,TUAN ROSLAN BIN HASHIM,55,TUAN ROSLAN BIN HASHIM
150,LABIS,TUAN PANG HOK LIONG,72,TUAN PANG HOK LIONG
151,LABIS,TUN PANG HOK LIONG,1,TUAN PANG HOK LIONG
152,LABUAN,DATO' INDERA DR. SUHAILI BIN ABDUL IIIIIIIII RAHMAN,1,DATO' INDERA DR. SUHAILI BIN ABDUL RAHMAN
153,LABUAN,DATO' INDERA DR. SUHAILI BIN ABDUL RAHMAN,65,DATO' INDERA DR. SUHAILI BIN ABDUL RAHMAN
154,LABUAN,YB DATO' DR. SUHAILI ABDUL RAHMAN,1,DATO' INDERA DR. SUHAILI BIN ABDUL RAHMAN
155,LANGKAWI,DATO' HAJI MOHD SUHAIMI BIN ABDULLAH,71,DATO' HAJI MOHD SUHAIMI BIN ABDULLAH
156,LARUT,DATO' SERI HAMZAH BIN ZAINUDIN,47,DATO' SERI HAMZAH BIN ZAINUDIN
157,LAWAS,DATO HENRY SUM AGONG,33,DATO HENRY SUM AGONG
158,LEDANG,TUAN SYED IBRAHIM BIN SYED NOH,56,TUAN SYED IBRAHIM BIN SYED NOH
159,LIBARAN,DATUK SUHAIMI BIN NASIR,72,DATUK SUHAIMI BIN NASIR
160,LUBOK ANTU,TUAN ROY ANGAU ANAK GINGKOI,63,TUAN ROY ANGAU ANAK GINGKOI
161,LUMUT,KOMANDER NORDIN BIN AHMAD ISMAIL (BERSARA),2,KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (BERSARA)
162,LUMUT,KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (BERSARA),48,KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (BERSARA)
163,LUMUT,YB KOMANDER TLDM (BERSARA) NORDIN BIN AHMAD ISMAIL,5,KOMANDER NORDIN BIN AHMAD ISMAIL TLDM (BERSARA)
164,MACHANG,TUAN WAN AHMAD FAYHSAL BIN AHMAD KAMAL,1,TUAN WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL
165,MACHANG,TUAN WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,63,TUAN WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL
166,MACHANG,YB TUAN WAN AHMAD FAYSHAL BIN WAN AHMAD KAMAL,1,TUAN WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL
167,MARAN,DATO' SRI DR. HAJI ISMAIL BIN HAJI ABD. MUTTALIB,65,DATO' SRI DR. HAJI ISMAIL BIN HAJI ABD. MUTTALIB
168,MARAN,Y.B. DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,3,DATO' SRI DR. HAJI ISMAIL BIN HAJI ABD. MUTTALIB
169,MARANG,TAN SRI DATO' SERI HAJI ABDUL HADI BIN AWANG,26,TAN SRI HAJI ABDUL HADI BIN AWANG
170,MARANG,TAN SRI HAJI ABDUL HADI BIN AWANG,50,TAN SRI HAJI ABDUL HADI BIN AWANG
171,MAS GADING,TUAN MORDI BIMOL,55,TUAN MORDI BIMOL
172,MASJID TANAH,DATO' WIRA HAJAH M AS ER M IEYATI BINTI SAMSUDIN,1,DATUK WIRA HAJAH MAS ERMIEYATI BINTI HAJI SAMSUDIN
173,MASJID TANAH,DATUK WIRA HAJAH MAS ERMIEYATI BINTI HAJI SAMSUDIN,58,DATUK WIRA HAJAH MAS ERMIEYATI BINTI HAJI SAMSUDIN
174,MASJID TANAH,YB DATUK WIRA HJH. MAS ERMIEYATI BT SAMSUDIN,1,DATUK WIRA HAJAH MAS ERMIEYATI BINTI HAJI SAMSUDIN
175,MERBOK,TUAN MOHD NAZRI BIN ABU HASSAN,66,TUAN MOHD NAZRI BIN ABU HASSAN
176,MERSING,TUAN HAJI MUHAMMAD ISLAHUDDIN BIN ABAS,64,TUAN HAJI MUHAMMAD ISLAHUDDIN BIN ABAS
177,MERSING,YB TUAN HAJI MUHAMMAD ISHALUDDIN BIN ABAS,1,TUAN HAJI MUHAMMAD ISLAHUDDIN BIN ABAS
178,MIRI,TUAN CHIEW CHOON MAN,56,TUAN CHIEW CHOON MAN
179,MUAR,TUAN SYED SADDIQ BIN SYED ABDUL RAHMAN,49,TUAN SYED SADDIQ BIN SYED ABDUL RAHMAN
180,PADANG BESAR,TUAN RUSHDAN BIN RUSMI,64,TUAN RUSHDAN BIN RUSMI
181,PADANG RENGAS,KAPTEN AZAHARI BIN HASAN,60,KAPTEN AZAHARI BIN HASAN
182,PADANG SERAI,DATO' AZMAN BIN NASRUDIN,72,DATO' AZMAN BIN NASRUDIN
183,PADANG TERAP,TUAN NURUL AMIN BIN HAMID,71,TUAN NURUL AMIN BIN HAMID
184,PAGOH,TAN SRI DATO' HAJI MAHIADDIN BIN HAJI MOHD. YASSIN,60,TAN SRI DATO' HAJI MAHIADDIN BIN HAJI MOHD. YASSIN
185,PAGOH,TAN SRI DATO' HAJI MAHIADDIN BIN MD YASIN,10,TAN SRI DATO' HAJI MAHIADDIN BIN HAJI MOHD. YASSIN
186,PAGOH,YB TAN SRI DATO' HJ. MUHYIDDIN BIN MD YASIN,1,TAN SRI DATO' HAJI MAHIADDIN BIN HAJI MOHD. YASSIN
187,PANDAN,DATO' SERI MOHD RAFIZI BIN RAMLI,21,DATO' SERI MOHD RAFIZI BIN RAMLI
188,PARIT,TUAN MUHAMMAD ISMI BIN MAT TAIB,66,TUAN MUHAMMAD ISMI BIN MAT TAIB
189,PARIT BUNTAR,TUAN HAJI MOHD MISBAHUL MUNIR BIN MASDUKI,60,TUAN HAJI MOHD MISBAHUL MUNIR BIN MASDUKI
190,PARIT BUNTAR,YB TUAN HAJI MISBAHUL MUNIR BIN MASDUKI,1,TUAN HAJI MOHD MISBAHUL MUNIR BIN MASDUKI
191,PARIT SULONG,DATUK SERI DR. NORAINI AHMAD,15,DATUK SERI DR. NORAINI AHMAD
192,PARIT SULONG,DATUK SERI DR. NORAINI BINTI AHMAD,2,DATUK SERI DR. NORAINI AHMAD
193,PASIR GUDANG,TUAN HASSAN BIN ABDUL KARIM,69,TUAN HASSAN BIN ABDUL KARIM
194,PASIR MAS,TUAN AHMAD FADHLI BIN SHAARI,70,TUAN AHMAD FADHLI BIN SHAARI
195,PASIR PUTEH,DATUK DR. NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,72,DATUK DR. NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH
196,PASIR SALAK,TUAN JAMALUDIN BIN YAHYA,60,TUAN JAMALUDIN BIN YAHYA
197,PAYA BESAR,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,45,DATO' INDERA MOHD SHAHAR BIN ABDULLAH
198,PEKAN,DAT O' SERI SH . MOHMED PUZI BIN SH ALI,1,DATO' SRI SH MOHMED PUZI BIN SH ALI
199,PEKAN,DATO' SRI SH MOHMED PUZI BIN SH ALI,68,DATO' SRI SH MOHMED PUZI BIN SH ALI
200,PENAMPANG,DATUK EWON BENEDICK,10,DATUK EWON BENEDICK
201,PENDANG,DATUK HAJI AWANG BIN HASHIM,71,DATUK HAJI AWANG BIN HASHIM
202,PENGKALAN CHEPA,DATUK DR. AHMAD MARZUK BIN SHAARY,66,DATUK DR. AHMAD MARZUK BIN SHAARY
203,PENGKALAN CHEPA,DATUK HAJI MARZUK BIN SHAARY,1,DATUK DR. AHMAD MARZUK BIN SHAARY
204,PENGKALAN CHEPA,Y.B. USTAZ HAJI AHMAD MARZUK BIN SHAARY,1,DATUK DR. AHMAD MARZUK BIN SHAARY
205,PERMATANG PAUH,TUAN MUHAMMAD FAWWAZ BIN MOHAMAD JAN,69,TUAN MUHAMMAD FAWWAZ BIN MOHAMAD JAN
206,PETALING JAYA,TUAN LEE CHEAN CHUNG,63,TUAN LEE CHEAN CHUNG
207,POKOK SENA,DAT O' AHMAD BIN SAAD,1,DATO' HAJI AHMAD BIN SAAD @ YAHAYA
208,POKOK SENA,DATO' HAJI AHMAD BIN SAAD @ YAHAYA,66,DATO' HAJI AHMAD BIN SAAD @ YAHAYA
209,POKOK SENA,YB DATO' AHMAD YAHAYA,1,DATO' HAJI AHMAD BIN SAAD @ YAHAYA
210,PORT DICKSON,DATO' SERI HAJI AMINUDDIN BIN HARUN,42,DATO' SERI HAJI AMINUDDIN BIN HARUN
211,PORT DICKSON,DATO' SERI UTAMA HAJI AMINUDDIN BIN HARUN,31,DATO' SERI HAJI AMINUDDIN BIN HARUN
212,PUCHONG,PUAN YEO BEE YIN,71,PUAN YEO BEE YIN
213,PULAI,TUAN SUHAIZAN BIN KAIAT,48,TUAN SUHAIZAN BIN KAIAT
214,PUNCAK BORNEO,DATUK WILLIE ANAK MONGIN,35,DATUK WILLIE ANAK MONGIN
215,PUTATAN,YB DATO' IR SHAHELMY BIN YAHYA,76,YB DATO' IR SHAHELMY BIN YAHYA
216,PUTRAJAYA,DATUK DR. MOHD RADZI BIN MD JIDIN,12,DR. RADZI JIDIN
217,PUTRAJAYA,DR. RADZI JIDIN,50,DR. RADZI JIDIN
218,RANAU,DATUK JONATHAN YASIN,72,DATUK JONATHAN YASIN
219,RANTAU PANJANG,DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF,62,DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF
220,RANTAU PANJANG,DATO' HAJAH SITI ZAILAH MOHD YUSOFF,3,DATO' HAJAH SITI ZAILAH BINTI MOHD YUSOFF
221,RASAH,TUAN CHA KEE CHIN,63,TUAN CHA KEE CHIN
